Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2016-10-23,1.51,2300.83,32.05,0.0,0.0,2268.78,1339.17,929.61,,organic,2016,NewOrleansMobile
2016-12-11,1.32,54112.89,63.34,50779.13,0.0,3270.42,3270.42,0.0,0.0,organic,2016,Chicago
2015-10-04,0.99,160322.48,3241.7,102316.58,18103.36,36660.84,29446.94,2198.98,5014.92,conventional,2015,GrandRapids
2016-08-21,2.0,3378.48,1860.99,108.09,9.4,1400.0,1370.0,30.0,0.0,organic,2016,Jacksonville
2015-07-26,1.39,91825.07,,45615.48,741.77,43788.54,43788.54,0.0,,conventional,2015,BuffaloRochester
2017-10-29,1.11,277437.66,169106.09,21885.18,1787.0,84659.39,72752.65,11155.63,,conventional,2017,NewOrleansMobile
2016-12-04,1.66,72203.16,960.31,54243.42,22.85,16976.58,15683.05,1256.03,,conventional,2016,BuffaloRochester
2015-10-25,1.11,1411354.54,559720.23,583990.89,15616.99,252026.43,237398.61,13346.37,,conventional,2015,Plains
2016-02-21,1.33,10563.94,529.0,7783.07,0.0,2251.87,348.67,1903.2,,organic,2016,CincinnatiDayton
2015-04-12,2.12,3870.58,,1460.35,1256.22,898.28,898.28,0.0,,organic,2015,Charlotte
2018-02-18,1.66,33678.58,,24314.04,0.0,9105.36,9095.36,10.0,,organic,2018,Chicago
2016-07-31,1.72,255025.51,3820.18,170920.7,200.04,80084.59,78539.51,340.08,,conventional,2016,HartfordSpringfield
2017-07-16,1.64,6337.48,,2225.86,0.0,3869.43,3079.26,790.17,,organic,2017,Roanoke
2017-03-12,2.56,2856.05,1233.55,97.2,0.0,1525.3,853.33,671.97,,organic,2017,Tampa
2016-01-31,0.88,282933.79,164436.06,33071.52,347.05,85079.16,74926.48,10152.68,0.0,conventional,2016,NewOrleansMobile
2015-10-18,1.54,10215.96,772.28,6014.66,685.19,2743.83,913.31,1830.52,,,2015,BaltimoreWashington
2015-04-05,1.11,295385.41,113210.53,62859.83,49925.6,69389.45,65997.82,1999.07,,conventional,2015,Detroit
2015-08-16,2.11,47299.93,6353.43,20046.99,806.2,20093.31,19683.26,410.05,0.0,organic,2015,Northeast
2016-07-17,1.54,2947.37,,1238.01,0.0,1706.84,760.92,945.92,0.0,organic,2016,Boise
2017-05-28,1.19,188284.12,11651.62,77776.16,1540.83,97315.51,45525.97,51742.05,47.49,conventional,2017,Indianapolis
2016-08-21,1.47,1334937.86,15005.3,771413.01,4586.26,543933.29,487247.69,52652.56,4033.04,conventional,2016,NewYork
2017-12-31,1.14,15852.37,446.28,1042.43,0.0,14363.66,13142.03,1221.63,0.0,organic,2017,Columbus
2017-01-15,0.73,1068598.28,,98377.69,17186.36,387898.76,153857.94,234040.82,0.0,conventional,2017,WestTexNewMexico
2018-03-04,1.4,145608.11,14856.48,27596.01,0.0,103155.62,103108.51,47.11,,organic,2018,LosAngeles
2015-06-28,0.77,1203553.98,760374.24,302577.78,7191.26,133410.7,125900.09,7499.76,,conventional,2015,DallasFtWorth
2016-01-17,1.15,251772.19,37242.5,127825.35,215.42,86488.92,85284.0,1204.92,0.0,conventional,2016,HarrisburgScranton
2017-08-27,2.11,26530.32,91.53,18593.95,0.0,7844.84,7844.84,0.0,,organic,2017,Chicago
2017-01-01,1.4,10109.46,7550.89,58.71,0.0,2499.86,2499.86,0.0,,organic,2017,Houston
2017-06-04,0.93,1325912.38,,227992.9,2256.17,382897.83,379395.1,3347.36,,conventional,2017,DallasFtWorth
2016-10-09,2.0,3382.0,,136.29,0.0,1368.11,686.67,681.44,,organic,2016,Orlando
2016-05-15,1.4,15206.47,,8892.58,0.0,5954.87,1681.91,4272.96,,organic,2016,CincinnatiDayton
2016-11-20,1.67,2832.01,,835.13,0.0,1932.02,106.67,1825.35,,,2016,Spokane
2017-12-03,1.71,18891.8,0.0,390.0,0.0,18501.8,18273.13,228.67,,organic,2017,NorthernNewEngland
2015-05-24,1.1,5621713.64,2978396.74,1873205.91,195991.06,574119.93,546420.69,24485.84,,conventional,2015,California
2016-11-06,1.64,81691.65,1321.66,56677.66,79.68,23612.65,23400.15,0.0,,conventional,2016,BuffaloRochester
2015-08-02,1.05,727916.83,153498.68,423519.88,16711.0,134187.27,45644.8,88542.47,0.0,conventional,2015,Denver
2015-12-06,0.89,28800396.57,9405464.36,12160838.62,931830.63,6302262.96,5005077.36,1233956.21,,conventional,2015,TotalUS
2017-10-01,1.86,183683.68,7514.77,58917.31,626.22,116625.38,22881.73,93645.32,98.33,conventional,2017,CincinnatiDayton
2015-08-02,1.63,40544.17,,16827.6,0.0,7544.36,7544.36,0.0,,organic,2015,LosAngeles
2016-09-04,1.34,38353.11,4754.59,13713.44,0.0,19885.08,872.7,19012.38,,organic,2016,Portland
2016-04-24,1.09,283535.19,,157366.58,235.32,75437.83,74325.2,1112.63,0.0,conventional,2016,HarrisburgScranton
2017-05-21,1.59,7576.78,336.52,2483.17,0.0,4757.09,2335.89,2421.2,,organic,2017,Roanoke
2016-06-19,0.95,254402.94,68071.47,14769.82,81.39,171480.26,139118.22,27583.68,,conventional,2016,StLouis
2016-01-31,1.04,469689.07,18326.33,344188.07,504.95,106669.72,97222.56,9447.16,,conventional,2016,Philadelphia
2016-01-03,0.78,1191927.54,551921.61,411340.37,80184.39,148481.17,144358.85,3764.81,,conventional,2016,DallasFtWorth
2018-01-07,1.28,161876.76,8645.3,92302.56,56.67,60872.23,12248.04,48624.19,0.0,conventional,2018,BuffaloRochester
2015-09-27,1.85,5756.8,1243.87,4399.58,0.0,113.35,103.33,10.02,0.0,organic,2015,LasVegas
2017-11-19,1.18,79284.0,2182.0,33869.0,79.0,43155.0,12675.0,30480.0,,conventional,2017,Louisville
2015-08-16,1.42,44245.45,619.41,32282.72,82.0,11261.32,11261.32,0.0,,conventional,2015,Syracuse
2017-05-28,1.15,102536.61,20265.31,31394.11,156.08,50721.11,50674.3,33.81,13.0,conventional,2017,Spokane
2016-07-17,2.0,5499.33,,2535.31,0.0,1523.22,1523.22,0.0,,organic,2016,StLouis
2015-07-12,1.66,18945.72,253.02,18087.09,0.0,605.61,566.67,38.94,,organic,2015,Chicago
2016-11-13,1.36,24075126.49,8235135.43,7759608.21,477520.95,7602861.9,5602593.66,1957163.93,,conventional,2016,TotalUS
2016-06-26,1.5,5867.74,2331.84,142.57,0.0,3393.33,3370.0,23.33,0.0,organic,2016,Tampa
2016-12-04,2.67,17934.25,7263.87,7440.44,0.0,3229.94,3217.12,12.82,,organic,2016,SanFrancisco
2015-07-26,1.02,159846.2,91758.41,25540.09,13557.25,28990.45,23981.05,3986.29,,conventional,2015,Columbus
2016-05-01,0.76,852118.86,148329.79,219777.04,18792.26,465219.77,461966.02,2894.07,,conventional,2016,Portland
2016-04-24,0.54,1352494.83,884293.16,264603.74,14665.34,188932.59,104062.12,83420.47,,conventional,2016,PhoenixTucson
2017-04-09,1.06,7728.45,301.9,1339.32,0.0,6087.23,1287.81,4799.42,,organic,2017,Indianapolis
2015-03-01,1.05,293036.34,92829.75,151163.75,12440.57,36602.27,35745.05,857.22,,conventional,2015,LasVegas
2018-03-04,1.65,24614.51,1558.03,10118.36,0.0,12938.12,12934.79,3.33,,organic,2018,SanDiego
2015-04-05,1.11,510738.88,370549.02,48767.27,91.39,91331.2,49707.36,41286.34,337.5,conventional,2015,MiamiFtLauderdale
2017-02-12,1.54,9911.34,239.38,4073.5,292.17,5306.29,4476.52,829.77,,organic,2017,RaleighGreensboro
2016-04-17,1.64,19825.05,2203.92,14267.41,1.66,3352.06,92.83,3259.23,,organic,2016,Portland
2016-06-12,1.16,84926.73,5365.6,50561.08,2495.61,26504.44,14528.1,9635.97,,conventional,2016,Louisville
2015-10-11,1.8,2180.46,242.52,1442.16,0.0,495.78,8.42,487.36,0.0,organic,2015,Spokane
2016-04-10,1.17,155143.97,2129.18,95776.95,3412.42,53825.42,47307.77,5850.39,667.26,conventional,2016,GrandRapids
2015-08-02,1.8,5792.88,,2627.72,0.0,1183.39,277.57,905.82,,organic,2015,Atlanta
2015-08-30,1.22,14045.27,,50.99,0.0,2486.59,1906.67,579.92,,organic,2015,Houston
2016-01-10,1.52,99539.08,5988.87,21064.16,1435.67,71050.38,31297.1,39753.28,,organic,2016,Northeast
2016-07-31,1.62,67427.23,13672.33,15899.54,1036.72,36818.64,29716.26,7102.38,,organic,2016,Southeast
2015-12-20,1.99,4921.37,1672.16,2841.33,0.0,407.88,258.73,149.15,,organic,2015,LasVegas
2015-07-05,1.69,12480.84,6639.93,3113.54,902.49,1824.88,1824.88,0.0,,organic,2015,BaltimoreWashington
2017-11-12,1.23,340345.0,165782.0,55018.0,2954.0,116591.0,90110.0,24929.0,,conventional,2017,SouthCarolina
2015-04-26,1.48,10698.67,2780.48,6603.33,0.0,1314.86,1314.86,0.0,,organic,2015,SanDiego
2017-11-12,2.13,11498.28,770.92,6108.74,0.0,4618.62,4618.62,0.0,0.0,organic,2017,SanDiego
2015-11-08,0.92,492385.15,255993.88,154270.39,16457.11,65663.77,58719.13,6944.64,,conventional,2015,SanDiego
2017-01-22,1.57,55867.65,5924.1,18291.59,3406.4,28245.56,18114.66,10130.9,0.0,,2017,Plains
2016-02-14,0.79,371467.52,144507.48,110749.56,7330.96,108879.52,47967.47,60912.05,,conventional,2016,LasVegas
2015-10-04,2.01,8059.96,1690.85,3621.73,0.0,2747.38,2723.34,24.04,,organic,2015,WestTexNewMexico
2015-12-13,1.02,1472501.13,695419.91,463238.46,17927.73,295915.03,266174.79,28516.98,,conventional,2015,Plains
2016-08-21,0.9,84013.04,40944.28,2078.24,4694.68,36295.84,34718.06,1577.78,,conventional,2016,Boise
2016-01-17,1.68,8382.56,805.42,1997.8,33.34,5546.0,565.36,4980.64,0.0,organic,2016,Philadelphia
2015-11-22,1.12,57410.08,1279.51,21670.78,0.0,34459.79,81.41,34378.38,0.0,organic,2015,Portland
2016-01-24,0.93,192194.31,116713.78,18557.48,473.07,56449.98,27533.11,28916.87,,conventional,2016,Jacksonville
2016-05-29,0.63,82549.14,29694.73,4570.07,6.61,48277.73,47343.36,926.1,,conventional,2016,Boise
2017-06-04,2.06,112812.77,17822.91,52648.14,1178.91,41162.81,39892.76,1270.05,,,2017,NewYork
2015-06-28,1.87,2804.46,2068.27,79.52,0.0,656.67,656.67,0.0,,organic,2015,Orlando
2015-05-03,1.92,27541.24,3463.32,16891.72,18.52,7167.68,5360.43,1807.25,0.0,organic,2015,Plains
2017-04-16,1.24,10898.43,382.64,2457.06,0.0,8058.73,2881.64,5177.09,0.0,organic,2017,Roanoke
2015-01-04,1.72,593.39,,102.71,0.0,490.68,490.68,0.0,,organic,2015,Syracuse
2015-05-24,1.02,12446.65,368.78,6973.85,495.62,4608.4,1688.43,2919.97,0.0,organic,2015,RichmondNorfolk
2017-04-16,1.22,100089.52,2109.81,47637.85,213.91,50127.95,18406.86,31705.47,,conventional,2017,Louisville
2017-02-26,1.05,28944.94,7437.63,210.19,0.0,21297.12,21167.36,129.76,,organic,2017,DallasFtWorth
2017-12-17,1.26,189529.04,58017.31,56564.52,3658.03,71289.18,66708.48,4580.7,,conventional,2017,Charlotte
2017-09-24,1.58,383655.09,47744.79,204123.34,395.52,131391.44,121155.89,10231.1,,conventional,2017,Philadelphia
2015-08-16,1.96,90240.43,24630.76,52035.43,0.0,13574.24,13574.24,0.0,0.0,organic,2015,California
2017-04-30,1.39,55920.43,,12759.95,4.01,41582.22,698.72,40883.5,0.0,organic,2017,Seattle
2017-12-24,1.56,35540.32,,5886.28,89.47,28645.46,28639.86,5.6,0.0,organic,2017,BaltimoreWashington
2017-12-03,1.16,80464.0,23473.0,17884.0,378.0,38729.0,33362.0,5310.0,57.0,,2017,Spokane
2017-10-22,1.64,168237.31,,65040.05,4652.86,54000.65,50704.73,3295.92,,conventional,2017,Charlotte
2017-11-12,2.17,3113.68,276.49,1165.5,0.0,1671.69,506.66,1165.03,,organic,2017,Spokane
2016-09-04,1.47,850104.12,203090.38,552428.86,10836.96,83747.92,82334.2,962.33,,conventional,2016,SanFrancisco
2017-03-12,0.98,112776.1,33062.31,9415.52,9975.45,60322.82,58419.56,1777.12,126.14,conventional,2017,Boise
2015-03-15,1.35,123895.07,1621.03,69452.53,4214.32,48607.19,45347.61,3244.22,,conventional,2015,GrandRapids
2015-02-01,0.91,469684.32,284674.2,78055.21,27248.16,79706.75,51793.3,27913.45,0.0,,2015,SouthCarolina
2018-03-25,1.74,91739.92,11197.66,29959.26,0.0,50583.0,50420.81,162.19,,organic,2018,LosAngeles
2016-12-04,1.45,4668.39,306.82,50.0,0.0,4311.57,2263.33,2048.24,0.0,organic,2016,Tampa
2017-07-09,1.28,6499668.48,2634902.26,1818682.87,207945.39,1838137.96,1767976.83,5214.88,,conventional,2017,California
2015-11-29,1.11,602481.22,,422479.32,74988.97,62161.46,61862.57,298.89,,conventional,2015,Chicago
2015-04-26,1.16,3011225.49,2170188.85,220781.47,23844.72,596410.45,461692.75,133263.53,,conventional,2015,Southeast
2017-06-25,1.05,6929193.97,,1201234.39,128253.56,3197991.29,1956121.79,1236850.44,,conventional,2017,West
2016-02-28,1.15,4481119.44,105867.52,3361015.9,84168.72,930067.3,867106.18,62961.12,,conventional,2016,Northeast
2016-01-17,1.26,42107.7,560.56,15954.79,6.67,25585.68,163.14,25422.54,0.0,organic,2016,Seattle
2018-01-28,1.14,159289.18,,49375.92,283.44,78370.09,61701.01,16669.08,,conventional,2018,Roanoke
2016-09-25,1.43,860546.65,210602.19,549378.28,7878.79,92687.39,89785.42,1571.69,,conventional,2016,SanFrancisco
2017-11-12,1.26,200521.0,58938.0,69122.0,982.0,71479.0,69009.0,2411.0,59.0,conventional,2017,RichmondNorfolk
2015-09-13,1.99,902.5,13.86,105.13,0.0,783.51,783.51,0.0,,organic,2015,Albany
2015-11-29,1.03,97235.6,,22858.09,16653.11,17371.46,12106.21,4115.58,,conventional,2015,Columbus
2015-03-15,1.63,9075.16,4595.6,4262.4,0.0,217.16,217.16,0.0,,organic,2015,Sacramento
2015-11-22,1.09,52875.58,25408.86,3255.97,6662.8,17547.95,17530.67,4.32,,conventional,2015,Boise
2016-12-11,1.2,243555.26,106629.29,42052.22,2563.93,92309.82,60969.76,31340.06,,conventional,2016,SouthCarolina
2017-12-17,1.37,9321.92,,5.12,0.0,8381.55,8378.22,3.33,,organic,2017,Pittsburgh
2018-01-21,1.53,6993.97,,598.05,0.0,6282.21,6278.88,3.33,,organic,2018,Orlando
