Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,Third Class,male,59.0,0,0,7.25,S
0,First class,male,71.0,0,0,34.6542,C
1,First class,male,23.0,0,1,63.3583,C
1,Second Class,female,34.0,0,1,23.0,S
0,Second Class,male,34.0,1,0,26.0,S
0,Third Class,female,28.0,0,0,7.8958,S
0,First class,male,21.0,0,1,77.2875,S
0,Third Class,male,33.0,0,0,8.6542,S
0,Third Class,male,37.0,2,0,7.925,S
0,Third Class,male,28.0,0,0,7.8958,S
1,Third Class,female,21.0,0,0,7.65,S
0,Third Class,male,38.0,0,0,7.8958,S
0,First class,male,47.0,0,0,52.0,S
0,Third Class,female,14.5,1,0,14.4542,C
0,Third Class,male,22.0,0,0,8.05,S
0,Third Class,female,20.0,1,0,9.825,S
0,Third Class,female,17.0,0,0,14.4583,C
0,Third Class,male,21.0,0,0,7.925,S
0,Third Class,male,70.5,0,0,7.75,Q
0,Second Class,male,29.0,1,0,21.0,S
0,First class,male,24.0,0,1,247.5208,C
0,Third Class,female,2.0,4,2,31.275,S
0,Second Class,male,21.0,2,0,73.5,S
0,Second Class,male,32.5,1,0,30.0708,C
1,Second Class,female,32.5,0,0,13.0,S
0,First class,male,54.0,0,1,77.2875,S
1,Third Class,male,12.0,1,0,11.2417,C
1,Third Class,male,24.0,0,0,7.1417,S
0,Third Class,male,45.0,0,0,6.975,S
0,Third Class,male,33.0,0,0,7.8958,C
0,Third Class,male,20.0,0,0,7.05,S
0,Third Class,female,47.0,1,0,14.5,S
1,Second Class,female,29.0,1,0,26.0,S
0,Second Class,male,25.0,0,0,13.0,S
0,Second Class,male,23.0,0,0,15.0458,C
1,First class,female,19.0,0,2,26.2833,S
0,First class,male,37.0,1,0,53.1,S
0,Third Class,male,16.0,0,0,9.2167,S
0,First class,male,24.0,0,0,79.2,C
1,Third Class,female,22.0,0,0,7.75,S
1,Third Class,female,24.0,1,0,15.85,S
0,Third Class,male,19.0,0,0,6.75,Q
0,Second Class,male,18.0,0,0,11.5,S
0,Second Class,male,19.0,1,1,36.75,S
1,Third Class,male,27.0,0,0,7.7958,S
0,Third Class,female,9.0,2,2,34.375,S
0,Second Class,male,36.5,0,2,26.0,S
0,Second Class,male,42.0,0,0,13.0,S
0,Second Class,male,51.0,0,0,12.525,S
1,First class,female,22.0,1,0,66.6,S
0,Third Class,male,55.5,0,0,8.05,S
0,Third Class,male,40.5,0,2,14.5,S
0,First class,male,51.0,0,1,61.3792,C
1,Third Class,female,16.0,0,0,7.7333,Q
0,Third Class,male,30.0,0,0,8.05,S
0,Third Class,male,44.0,0,1,16.1,S
1,Second Class,female,40.0,0,0,15.75,S
0,Third Class,male,26.0,0,0,7.775,S
0,Third Class,male,17.0,0,0,8.6625,S
0,Third Class,male,1.0,4,1,39.6875,S
1,Third Class,male,9.0,0,2,20.525,S
0,Third Class,female,45.0,1,4,27.9,S
0,Third Class,male,28.0,0,0,56.4958,S
0,First class,male,61.0,0,0,33.5,S
0,Third Class,male,4.0,4,1,29.125,Q
1,Third Class,female,1.0,1,1,11.1333,S
0,Third Class,male,21.0,0,0,7.925,S
0,First class,male,56.0,0,0,30.6958,C
0,Third Class,male,18.0,1,1,7.8542,S
0,First class,female,50.0,0,0,28.7125,C
0,Second Class,male,30.0,0,0,13.0,S
0,Third Class,male,36.0,0,0,0.0,S
0,Third Class,male,9.0,4,2,31.3875,S
1,Second Class,male,1.0,2,1,39.0,S
1,Third Class,female,4.0,0,2,22.025,S
1,First class,male,45.0,0,0,26.55,S
0,Third Class,male,40.0,1,1,15.5,Q
0,Third Class,male,36.0,0,0,7.8958,S
1,Second Class,female,32.0,0,0,13.0,S
0,Second Class,male,19.0,0,0,13.0,S
1,Third Class,female,19.0,1,0,7.8542,S
1,Second Class,male,3.0,1,1,26.0,S
1,First class,female,44.0,0,0,27.7208,C
1,First class,female,58.0,0,0,146.5208,C
0,Third Class,male,42.0,0,1,8.4042,S
0,Second Class,female,24.0,0,0,13.0,S
0,Third Class,male,28.0,0,0,9.5,S
0,Third Class,male,34.0,0,0,6.4958,S
0,Third Class,male,45.5,0,0,7.225,C
1,Third Class,male,18.0,0,0,8.05,S
0,Third Class,female,2.0,0,1,10.4625,S
0,Third Class,male,32.0,1,0,15.85,S
1,Third Class,male,26.0,0,0,18.7875,C
1,Third Class,female,16.0,0,0,7.75,Q
1,First class,male,40.0,0,0,31.0,C
0,Third Class,male,24.0,0,0,7.05,S
1,Second Class,female,35.0,0,0,21.0,S
0,Third Class,male,22.0,0,0,7.25,S
0,Second Class,male,30.0,0,0,13.0,S
1,First class,female,31.0,1,0,113.275,C
1,Third Class,female,27.0,0,0,7.925,S
0,Second Class,male,42.0,1,0,27.0,S
1,First class,female,32.0,0,0,76.2917,C
0,Second Class,male,30.0,0,0,10.5,S
1,Third Class,male,16.0,0,0,8.05,S
0,Second Class,male,27.0,0,0,13.0,S
0,Third Class,male,51.0,0,0,8.05,S
1,First class,male,38.0,1,0,90.0,S
0,Third Class,male,22.0,0,0,9.35,S
1,Second Class,male,19.0,0,0,10.5,S
0,Third Class,male,20.5,0,0,7.25,S
0,Second Class,male,18.0,0,0,13.0,S
1,First class,female,35.0,1,0,83.475,S
0,Third Class,male,29.0,0,0,7.775,S
0,Second Class,male,59.0,0,0,13.5,S
1,Third Class,female,5.0,4,2,31.3875,S
0,Second Class,male,24.0,0,0,10.5,S
0,Second Class,male,44.0,1,0,26.0,S
1,Second Class,female,8.0,0,2,26.25,S
0,Second Class,male,19.0,0,0,10.5,S
0,Second Class,male,33.0,0,0,12.275,S
0,Second Class,male,29.0,0,0,10.5,S
0,Third Class,male,22.0,0,0,7.125,S
0,Third Class,male,30.0,0,0,7.225,C
0,First class,male,44.0,2,0,90.0,Q
0,Third Class,female,25.0,0,0,7.775,S
1,Second Class,female,24.0,0,2,14.5,S
1,First class,male,37.0,1,1,52.5542,S
0,Second Class,male,54.0,1,0,26.0,S
0,Third Class,female,29.0,1,1,10.4625,S
0,First class,male,62.0,0,0,26.55,S
0,Third Class,male,30.0,1,0,16.1,S
0,Third Class,female,41.0,0,2,20.2125,S
1,Third Class,female,29.0,0,2,15.2458,C
1,First class,female,30.0,0,0,86.5,S
1,First class,female,35.0,0,0,512.3292,C
1,Second Class,female,50.0,0,1,26.0,S
1,Third Class,male,3.0,4,2,31.3875,S
0,First class,male,52.0,1,1,79.65,S
0,First class,male,40.0,0,0,0.0,S
0,Second Class,male,36.0,0,0,10.5,S
0,Third Class,male,16.0,4,1,39.6875,S
1,Third Class,male,25.0,1,0,7.775,S
1,First class,female,58.0,0,1,153.4625,S
1,First class,female,35.0,0,0,135.6333,S
1,Third Class,male,25.0,0,0,0.0,S
1,Second Class,female,41.0,0,1,19.5,S
0,First class,male,37.0,0,1,29.7,C
1,First class,female,63.0,1,0,77.9583,S
0,Third Class,female,45.0,0,0,7.75,S
0,Third Class,male,7.0,4,1,29.125,Q
1,Third Class,female,35.0,1,1,20.25,S
0,Third Class,male,65.0,0,0,7.75,Q
0,Third Class,male,28.0,0,0,7.8542,S
0,Third Class,male,16.0,0,0,9.5,S
1,Third Class,male,19.0,0,0,8.05,S
0,Third Class,male,33.0,0,0,8.6625,C
1,Third Class,male,30.0,0,0,9.5,S
0,Third Class,male,22.0,0,0,7.8958,S
1,Second Class,male,42.0,0,0,13.0,S
1,Third Class,female,22.0,0,0,7.75,Q
1,First class,female,26.0,0,0,78.85,S
1,First class,female,19.0,1,0,91.0792,C
0,Second Class,male,36.0,0,0,12.875,C
0,Third Class,female,24.0,0,0,8.85,S
0,Third Class,male,24.0,0,0,7.8958,S
0,Third Class,male,23.5,0,0,7.2292,C
0,First class,female,2.0,1,2,151.55,S
1,First class,female,50.0,0,1,247.5208,C
0,Third Class,male,19.0,0,0,0.0,S
1,First class,male,0.92,1,2,151.55,S
1,First class,female,17.0,1,0,108.9,C
0,Second Class,male,30.0,1,0,24.0,C
1,First class,female,30.0,0,0,56.9292,C
1,First class,female,24.0,0,0,83.1583,C
1,First class,female,18.0,2,2,262.375,C
0,Second Class,female,26.0,1,1,26.0,S
0,Third Class,male,28.0,0,0,7.8958,S
0,Second Class,male,43.0,1,1,26.25,S
1,Third Class,female,26.0,0,0,7.8542,S
1,Second Class,female,24.0,1,0,26.0,S
0,Second Class,male,54.0,0,0,14.0,S
1,First class,female,31.0,0,2,164.8667,S
1,First class,female,40.0,1,1,134.5,C
0,Third Class,male,22.0,0,0,7.25,S
0,Third Class,male,27.0,0,0,7.8958,S
1,Second Class,female,30.0,0,0,12.35,Q
1,Second Class,female,22.0,1,1,29.0,S
1,First class,female,36.0,0,0,135.6333,C
0,Third Class,male,61.0,0,0,6.2375,S
1,Second Class,female,36.0,0,0,13.0,S
1,Third Class,female,31.0,1,1,20.525,S
1,First class,female,16.0,0,1,57.9792,C
0,First class,male,45.5,0,0,28.5,S
0,First class,male,38.0,0,1,153.4625,S
0,Third Class,male,16.0,2,0,18.0,S
0,First class,male,29.0,1,0,66.6,S
1,First class,female,41.0,0,0,134.5,C
1,Third Class,male,45.0,0,0,8.05,S
0,First class,male,45.0,0,0,35.5,S
1,Second Class,male,2.0,1,1,26.0,S
1,First class,female,24.0,3,2,263.0,S
0,Second Class,male,28.0,0,0,13.0,S
0,Second Class,male,25.0,0,0,13.0,S
0,Second Class,male,36.0,0,0,13.0,S
1,Second Class,female,24.0,0,0,13.0,S
1,Second Class,female,40.0,0,0,13.0,S
1,Third Class,male,3.0,1,1,15.9,S
0,Third Class,male,42.0,0,0,8.6625,S
0,Third Class,male,23.0,0,0,9.225,S
0,Third Class,male,15.0,1,1,7.2292,C
0,Third Class,male,25.0,1,0,17.8,S
0,Third Class,male,28.0,0,0,9.5,S
1,First class,female,22.0,0,1,55.0,S
0,Second Class,female,38.0,0,0,13.0,S
0,Third Class,male,40.0,1,4,27.9,S
0,Second Class,male,29.0,1,0,27.7208,C
0,Third Class,female,45.0,0,1,14.4542,C
0,Third Class,male,35.0,0,0,7.05,S
0,Third Class,male,30.0,0,0,7.25,S
1,First class,female,60.0,1,0,75.25,C
1,First class,female,24.0,0,0,69.3,C
1,First class,male,25.0,1,0,55.4417,C
0,Third Class,male,18.0,1,0,6.4958,S
0,Third Class,male,19.0,0,0,8.05,S
0,First class,male,22.0,0,0,135.6333,C
0,Third Class,female,3.0,3,1,21.075,S
1,Third Class,female,22.0,0,0,7.25,S
0,First class,male,27.0,0,2,211.5,C
0,Third Class,male,20.0,0,0,4.0125,C
0,Third Class,male,19.0,0,0,7.775,S
1,First class,female,42.0,0,0,227.525,C
1,Third Class,female,1.0,0,2,15.7417,C
0,Third Class,male,32.0,0,0,7.925,S
1,First class,female,35.0,1,0,52.0,S
0,Second Class,male,18.0,0,0,73.5,S
0,Third Class,male,1.0,5,2,46.9,S
1,Second Class,female,36.0,0,0,13.0,S
1,Second Class,female,17.0,0,0,12.0,C
1,First class,male,36.0,1,2,120.0,S
1,Third Class,male,21.0,0,0,7.7958,S
0,Third Class,male,28.0,2,0,7.925,S
1,First class,female,23.0,1,0,113.275,C
1,Third Class,female,24.0,0,2,16.7,S
0,Third Class,male,22.0,0,0,7.7958,S
0,Third Class,female,31.0,0,0,7.8542,S
0,Second Class,male,46.0,0,0,26.0,S
0,Second Class,male,23.0,0,0,10.5,S
1,Second Class,female,28.0,0,0,12.65,S
1,Third Class,male,39.0,0,0,7.925,S
0,Third Class,male,26.0,0,0,8.05,S
0,Third Class,female,21.0,1,0,9.825,S
0,Third Class,male,28.0,1,0,15.85,S
0,Third Class,female,20.0,0,0,8.6625,S
0,Second Class,male,34.0,1,0,21.0,S
0,Third Class,male,51.0,0,0,7.75,S
1,Second Class,male,3.0,1,1,18.75,S
0,Third Class,male,21.0,0,0,7.775,S
1,First class,female,33.0,1,0,90.0,Q
1,Third Class,male,44.0,0,0,7.925,S
1,Second Class,female,34.0,1,1,32.5,S
1,Second Class,female,18.0,0,2,13.0,S
0,Second Class,male,30.0,0,0,13.0,S
0,Third Class,female,10.0,0,2,24.15,S
0,Third Class,male,21.0,0,0,7.7333,Q
0,Third Class,male,29.0,0,0,7.875,S
0,Third Class,female,28.0,1,1,14.4,S
0,Third Class,male,18.0,1,1,20.2125,S
1,Second Class,female,28.0,1,0,26.0,S
1,Second Class,female,19.0,0,0,26.0,S
1,Third Class,male,32.0,0,0,8.05,S
1,First class,male,28.0,0,0,26.55,S
1,Second Class,female,42.0,1,0,26.0,S
0,Third Class,male,17.0,0,0,7.125,S
0,First class,male,50.0,1,0,55.9,S
1,First class,female,14.0,1,2,120.0,S
0,Third Class,female,21.0,2,2,34.375,S
1,Second Class,female,24.0,2,3,18.75,S
0,First class,male,64.0,1,4,263.0,S
0,Second Class,male,31.0,0,0,10.5,S
1,Second Class,female,45.0,1,1,26.25,S
0,Third Class,male,20.0,0,0,9.5,S
0,Third Class,male,25.0,1,0,7.775,S
1,Second Class,female,28.0,0,0,13.0,S
1,First class,male,4.0,0,2,81.8583,S
1,Second Class,female,13.0,0,1,19.5,S
1,First class,male,34.0,0,0,26.55,S
1,Third Class,female,5.0,2,1,19.2583,C
1,First class,male,52.0,0,0,30.5,S
0,Second Class,male,36.0,1,2,27.75,S
0,First class,male,30.0,0,0,27.75,C
1,First class,male,49.0,1,0,89.1042,C
1,Third Class,male,29.0,0,0,7.8958,C
0,First class,male,65.0,0,0,26.55,S
1,Second Class,female,50.0,0,0,10.5,S
1,First class,male,48.0,0,0,26.55,S
0,Third Class,male,34.0,0,0,8.05,S
0,First class,male,47.0,0,0,38.5,S
0,Second Class,male,48.0,0,0,13.0,S
0,Third Class,male,38.0,0,0,7.05,S
0,First class,male,56.0,0,0,26.55,S
1,Third Class,female,0.75,2,1,19.2583,C
0,Third Class,male,38.0,0,0,8.6625,S
1,Second Class,female,33.0,1,2,27.75,S
1,Second Class,female,23.0,0,0,13.7917,C
0,Third Class,female,22.0,0,0,9.8375,S
0,Second Class,male,34.0,1,0,21.0,S
0,Third Class,male,29.0,1,0,7.0458,S
0,Third Class,male,22.0,0,0,7.5208,S
1,Third Class,female,2.0,0,1,12.2875,S
0,Third Class,male,9.0,5,2,46.9,S
0,Third Class,male,50.0,0,0,8.05,S
1,Third Class,female,63.0,0,0,9.5875,S
1,First class,male,25.0,1,0,91.0792,C
1,First class,female,35.0,1,0,90.0,S
0,First class,male,58.0,0,0,29.7,C
0,Third Class,male,30.0,0,0,8.05,S
1,Third Class,male,9.0,1,1,15.9,S
0,Third Class,male,21.0,0,0,7.25,S
0,First class,male,55.0,0,0,30.5,S
0,First class,male,71.0,0,0,49.5042,C
0,Third Class,male,21.0,0,0,8.05,S
1,First class,female,54.0,1,0,78.2667,C
0,First class,female,25.0,1,2,151.55,S
0,Third Class,male,24.0,0,0,7.7958,S
0,Third Class,male,17.0,0,0,8.6625,S
0,Third Class,female,21.0,0,0,7.75,Q
0,Third Class,female,37.0,0,0,9.5875,S
1,First class,female,16.0,0,0,86.5,S
0,First class,male,18.0,1,0,108.9,C
1,Second Class,female,33.0,0,2,26.0,S
0,Third Class,male,28.0,0,0,22.525,S
1,Third Class,male,26.0,0,0,56.4958,S
1,Third Class,male,29.0,0,0,7.75,Q
1,First class,male,36.0,0,0,26.2875,S
1,First class,female,54.0,1,0,59.4,C
0,Third Class,male,24.0,0,0,7.4958,S
0,First class,male,47.0,0,0,34.0208,S
1,Second Class,female,34.0,0,0,10.5,S
1,Second Class,female,36.0,1,0,26.0,S
0,Third Class,male,32.0,0,0,7.8958,S
1,First class,female,30.0,0,0,93.5,S
0,Third Class,male,22.0,0,0,7.8958,S
1,First class,female,44.0,0,1,57.9792,C
0,Third Class,male,40.5,0,0,7.75,Q
1,Second Class,female,50.0,0,0,10.5,S
0,Third Class,male,39.0,0,0,7.925,S
0,Second Class,male,23.0,2,1,11.5,S
1,Second Class,female,2.0,1,1,26.0,S
0,Third Class,male,17.0,1,1,7.2292,C
0,Third Class,female,30.0,0,0,8.6625,S
1,Second Class,female,7.0,0,2,26.25,S
0,First class,male,45.0,0,0,26.55,S
1,First class,female,30.0,0,0,106.425,C
1,First class,female,22.0,0,2,49.5,C
1,First class,female,36.0,0,2,71.0,S
0,Third Class,female,9.0,4,2,31.275,S
0,Third Class,female,11.0,4,2,31.275,S
1,Second Class,male,32.0,1,0,26.0,S
0,First class,male,50.0,1,0,106.425,C
0,First class,male,64.0,0,0,26.0,S
1,Second Class,female,19.0,1,0,26.0,S
0,Third Class,male,33.0,1,1,20.525,S
1,Second Class,male,8.0,1,1,36.75,S
1,First class,male,17.0,0,2,110.8833,C
0,Second Class,male,27.0,0,0,26.0,S
1,Third Class,male,22.0,0,0,7.225,C
1,Third Class,female,22.0,0,0,7.775,S
0,First class,male,62.0,0,0,26.55,S
1,First class,female,48.0,1,0,39.6,C
1,First class,female,39.0,1,1,79.65,S
1,Third Class,female,36.0,1,0,17.4,S
0,Third Class,male,40.0,0,0,7.8958,S
0,Second Class,male,28.0,0,0,13.5,S
0,Third Class,male,24.0,2,0,24.15,S
0,Third Class,male,19.0,0,0,7.8958,S
0,Third Class,female,29.0,0,4,21.075,S
1,Third Class,male,32.0,0,0,7.8542,S
1,Second Class,male,62.0,0,0,10.5,S
1,First class,female,53.0,2,0,51.4792,S
1,First class,male,36.0,0,0,26.3875,S
0,Third Class,male,16.0,0,0,8.05,S
0,Third Class,male,19.0,0,0,14.5,S
1,Second Class,female,34.0,0,0,13.0,S
1,First class,female,39.0,1,0,55.9,S
1,Third Class,male,32.0,0,0,7.925,S
1,Second Class,female,25.0,1,1,30.0,S
1,First class,female,39.0,1,1,110.8833,C
0,Second Class,male,54.0,0,0,26.0,S
0,First class,male,36.0,0,0,40.125,C
1,First class,female,18.0,0,2,79.65,S
0,Second Class,male,47.0,0,0,15.0,S
1,First class,male,60.0,1,1,79.2,C
0,Third Class,male,22.0,0,0,8.05,S
0,Third Class,male,35.0,0,0,7.125,S
1,First class,female,52.0,1,0,78.2667,C
0,Third Class,male,47.0,0,0,7.25,S
0,Second Class,male,37.0,1,0,26.0,S
0,Third Class,male,36.0,1,1,24.15,S
0,Third Class,male,49.0,0,0,0.0,S
1,First class,male,49.0,1,0,56.9292,C
1,Second Class,female,24.0,2,1,27.0,S
0,Third Class,male,44.0,0,0,8.05,S
1,First class,male,35.0,0,0,26.55,C
0,Third Class,male,36.0,1,0,15.55,S
0,Third Class,male,30.0,0,0,7.8958,S
1,First class,male,27.0,0,0,30.5,S
1,Second Class,female,22.0,1,2,41.5792,C
1,First class,female,40.0,0,0,153.4625,S
0,Third Class,female,39.0,1,5,31.275,S
0,Third Class,male,35.0,0,0,8.05,S
1,Second Class,female,24.0,1,2,65.0,S
0,Third Class,male,34.0,1,1,14.4,S
0,Third Class,female,26.0,1,0,16.1,S
1,Second Class,female,4.0,2,1,39.0,S
0,Second Class,male,26.0,0,0,10.5,S
0,Third Class,male,27.0,1,0,14.4542,C
1,First class,male,42.0,1,0,52.5542,S
1,Third Class,male,20.0,1,1,15.7417,C
0,Third Class,male,21.0,0,0,7.8542,S
0,Third Class,male,21.0,0,0,16.1,S
0,First class,male,61.0,0,0,32.3208,S
0,Second Class,male,57.0,0,0,12.35,Q
1,First class,female,21.0,0,0,77.9583,S
0,Third Class,male,26.0,0,0,7.8958,S
1,First class,male,80.0,0,0,30.0,S
0,Third Class,male,51.0,0,0,7.0542,S
1,First class,male,32.0,0,0,30.5,C
0,Third Class,female,9.0,3,2,27.9,S
1,Second Class,female,28.0,0,0,13.0,S
0,Third Class,male,32.0,0,0,7.925,S
0,Second Class,male,31.0,1,1,26.25,S
0,Third Class,female,41.0,0,5,39.6875,S
0,Third Class,male,20.0,0,0,7.8542,S
1,First class,female,24.0,0,0,69.3,C
0,Third Class,female,2.0,3,2,27.9,S
1,Third Class,female,0.75,2,1,19.2583,C
1,First class,male,48.0,1,0,76.7292,C
0,Third Class,male,19.0,0,0,7.8958,S
1,First class,male,56.0,0,0,35.5,C
1,Third Class,female,23.0,0,0,7.55,S
1,Second Class,female,18.0,0,1,23.0,S
0,Third Class,male,21.0,0,0,8.4333,S
0,Third Class,female,18.0,0,0,6.75,Q
0,Second Class,male,24.0,2,0,73.5,S
0,Third Class,female,32.0,1,1,15.5,Q
0,Second Class,male,23.0,0,0,13.0,S
0,First class,male,58.0,0,2,113.275,C
1,First class,male,50.0,2,0,133.65,S
0,Third Class,male,40.0,0,0,7.225,C
0,First class,male,47.0,0,0,25.5875,S
0,Third Class,male,36.0,0,0,7.4958,S
1,Third Class,male,20.0,1,0,7.925,S
0,Second Class,male,32.0,2,0,73.5,S
0,Second Class,male,25.0,0,0,13.0,S
0,Third Class,male,43.0,0,0,8.05,S
1,Second Class,female,40.0,1,1,39.0,S
0,First class,male,31.0,1,0,52.0,S
0,Second Class,male,70.0,0,0,10.5,S
1,Second Class,male,31.0,0,0,13.0,S
0,Third Class,male,18.0,0,0,7.775,S
0,Third Class,male,24.5,0,0,8.05,S
1,Third Class,female,18.0,0,0,9.8417,S
0,Third Class,female,43.0,1,6,46.9,S
1,First class,male,36.0,0,1,512.3292,C
1,First class,male,27.0,0,0,76.7292,C
0,Third Class,male,20.0,0,0,9.225,S
0,Third Class,male,14.0,5,2,46.9,S
0,Second Class,male,60.0,1,1,39.0,S
0,Second Class,male,25.0,1,2,41.5792,C
0,Third Class,male,14.0,4,1,39.6875,S
0,Third Class,male,19.0,0,0,10.1708,S
0,Third Class,male,18.0,0,0,7.7958,S
1,First class,female,15.0,0,1,211.3375,S
1,First class,male,31.0,1,0,57.0,S
1,Third Class,female,4.0,0,1,13.4167,C
0,Third Class,male,25.0,0,0,7.225,C
0,First class,male,60.0,0,0,26.55,S
0,Second Class,male,52.0,0,0,13.5,S
0,Third Class,male,44.0,0,0,8.05,S
0,First class,male,49.0,1,1,110.8833,C
0,Third Class,male,42.0,0,0,7.65,S
1,First class,female,18.0,1,0,227.525,C
1,First class,male,35.0,0,0,26.2875,S
0,Third Class,female,18.0,0,1,14.4542,C
0,Third Class,male,25.0,0,0,7.7417,Q
0,Third Class,male,26.0,1,0,7.8542,S
0,Second Class,male,39.0,0,0,26.0,S
1,Second Class,female,45.0,0,0,13.5,S
1,First class,male,42.0,0,0,26.2875,S
1,First class,female,22.0,0,0,151.55,S
1,First class,female,24.0,0,0,49.5042,C
1,First class,male,48.0,1,0,52.0,S
0,Third Class,male,29.0,0,0,9.4833,S
0,Second Class,male,52.0,0,0,13.0,S
0,Third Class,male,19.0,0,0,7.65,S
1,First class,female,38.0,0,0,227.525,C
1,Second Class,female,27.0,0,0,10.5,S
0,Third Class,male,33.0,0,0,7.775,S
1,Second Class,female,6.0,0,1,33.0,S
0,Third Class,male,17.0,1,0,7.0542,S
0,Second Class,male,34.0,0,0,13.0,S
0,Second Class,male,50.0,0,0,13.0,S
1,First class,male,27.0,1,0,53.1,S
0,Third Class,male,20.0,0,0,8.6625,S
1,Second Class,female,30.0,3,0,21.0,S
0,Second Class,male,25.0,1,0,26.0,S
0,Third Class,female,25.0,1,0,7.925,S
1,First class,female,29.0,0,0,211.3375,S
0,Third Class,male,11.0,0,0,18.7875,C
0,Second Class,male,23.0,0,0,13.0,S
0,Second Class,male,23.0,0,0,13.0,S
0,Third Class,male,28.5,0,0,16.1,S
0,Third Class,female,48.0,1,3,34.375,S
1,First class,male,35.0,0,0,512.3292,C
0,First class,male,36.0,1,0,78.85,S
1,First class,female,21.0,2,2,262.375,C
0,Third Class,male,24.0,1,0,16.1,S
1,Third Class,male,31.0,0,0,7.925,S
0,First class,male,70.0,1,1,71.0,S
0,Third Class,male,16.0,1,1,20.25,S
1,Second Class,female,30.0,0,0,13.0,S
0,First class,male,19.0,1,0,53.1,S
0,Third Class,male,31.0,0,0,7.75,Q
1,Second Class,female,4.0,1,1,23.0,S
1,Third Class,male,6.0,0,1,12.475,S
0,Third Class,male,33.0,0,0,9.5,S
0,Third Class,male,23.0,0,0,7.8958,S
1,Second Class,female,48.0,1,2,65.0,S
1,Second Class,male,0.67,1,1,14.5,S
0,Third Class,male,28.0,0,0,7.7958,S
0,Second Class,male,18.0,0,0,11.5,S
0,Third Class,male,34.0,0,0,8.05,S
1,First class,female,33.0,0,0,86.5,S
0,Third Class,male,41.0,0,0,7.125,S
1,Third Class,male,20.0,0,0,7.2292,C
1,First class,female,36.0,1,2,120.0,S
0,Third Class,male,16.0,0,0,7.775,S
